Company,Location_HQ,Country,Continent,Laid_Off,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Year
ShareChat,Bengaluru,India,Asia,200,15.0,1333,1133,Consumer,Series H,2023
InSightec,Haifa,Israel,Asia,100,20.0,500,400,Healthcare,Unknown,2023
Enphase Energy,San Francisco Bay Area,USA,North America,350,10.0,3500,3150,Energy,Post-IPO,2023
Udaan,Bengaluru,India,Asia,100,10.0,1000,900,Retail,Unknown,2023
Cruise,San Francisco Bay Area,USA,North America,900,24.0,3750,2850,Transportation,Acquired,2023
Bolt,San Francisco Bay Area,USA,North America,130,29.0,450,320,Finance,Series E,2023
Invitae,San Francisco Bay Area,USA,North America,235,15.0,1567,1332,Healthcare,Post-IPO,2023
Etsy,New York City,USA,North America,225,11.0,2045,1820,Retail,Post-IPO,2023
Chipper Cash,San Francisco Bay Area,USA,North America,15,33.0,45,30,Finance,Series C,2023
Zulily,Seattle,USA,North America,839,100.0,839,0,Retail,Acquired,2023
ZestMoney,Bengaluru,India,Asia,150,100.0,150,0,Finance,Series C,2023
Navan,San Francisco Bay Area,USA,North America,145,5.0,2900,2755,Finance,Unknown,2023
Incredibuild,Tel Aviv,Israel,Asia,40,20.0,200,160,Product,Series B,2023
Spotify,Stockholm,Sweden,Europe,1500,17.0,9200,7700,Media,Post-IPO,2023
Loco,Mumbai,India,Asia,40,36.0,111,71,Consumer,Acquired,2023
Zepz,London,United Kingdom,Europe,30,2.0,1500,1470,Finance,Series E,2023
Unity,San Francisco Bay Area,USA,North America,265,4.0,6625,6360,Other,Post-IPO,2023
Dataminr,New York City,USA,North America,150,20.0,750,600,AI,Series F,2023
Our Next Energy,Detroit,USA,North America,128,25.0,512,384,Transportation,Series B,2023
Physics Wallah,Noida,India,Asia,120,1.0,12000,11880,Education,Series A,2023
TripAdvisor,Boston,USA,North America,125,4.0,3125,3000,Travel,Post-IPO,2023
Viasat,San Diego,USA,North America,800,10.0,8000,7200,Other,Post-IPO,2023
Beyond Meat,Los Angeles,USA,North America,65,8.0,813,748,Food,Post-IPO,2023
Splunk,San Francisco Bay Area,USA,North America,500,7.0,7143,6643,Data,Post-IPO,2023
Faire,San Francisco Bay Area,USA,North America,250,20.0,1250,1000,Retail,Series G,2023
Sana Benefits,Austin,USA,North America,73,50.0,146,73,HR,Series B,2023
Hippo Insurance,San Francisco Bay Area,USA,North America,120,20.0,600,480,Finance,Post-IPO,2023
SiFive,San Francisco Bay Area,USA,North America,130,20.0,650,520,Hardware,Series F,2023
Nomad Health,New York City,USA,North America,119,17.0,700,581,Healthcare,Unknown,2023
Convoy,Seattle,USA,North America,500,100.0,500,0,Logistics,Series E,2023
Bullhorn,Boston,USA,North America,140,9.0,1556,1416,Sales,Acquired,2023
StellarAlgo,Calgary,Canada,North America,21,28.0,75,54,Data,Series A,2023
ManoMano,Paris,France,Europe,230,25.0,920,690,Retail,Series F,2023
WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35,10.0,350,315,Other,Series A,2023
LinkedIn,San Francisco Bay Area,USA,North America,660,3.0,22000,21340,Recruiting,Acquired,2023
C2FO,Kansas City,USA,North America,80,3.0,2667,2587,Finance,Series H,2023
Lending Club,San Francisco Bay Area,USA,North America,172,14.0,1229,1057,Finance,Post-IPO,2023
MariaDB,San Francisco Bay Area,USA,North America,84,28.0,300,216,Data,Post-IPO,2023
Deepgram,San Francisco Bay Area,USA,North America,20,20.0,100,80,AI,Series B,2023
Carbon Health,San Francisco Bay Area,USA,North America,114,5.0,2280,2166,Healthcare,Series D,2023
InvestCloud,Los Angeles,USA,North America,80,5.0,1600,1520,Finance,Private Equity …,2023
SchoolMint,San Francisco Bay Area,USA,North America,29,14.0,207,178,Education,Acquired,2023
Arrival,London,United Kingdom,Europe,200,25.0,800,600,Transportation,Post-IPO,2023
Qualtrics,Salt Lake City,USA,North America,780,14.0,5571,4791,Other,Post-IPO,2023
Hopper,Montreal,Canada,North America,250,30.0,833,583,Travel,Unknown,2023
Chainalysis,New York City,USA,North America,150,15.0,1000,850,Crypto,Series F,2023
Synapse,San Francisco Bay Area,USA,North America,86,40.0,215,129,Finance,Series B,2023
Chia Network,San Francisco Bay Area,USA,North America,26,37.0,70,44,Crypto,Series D,2023
Cowbell,San Francisco Bay Area,USA,North America,28,12.0,233,205,Finance,Series B,2023
Epic Games,Raleigh,USA,North America,870,16.0,5438,4568,Consumer,Unknown,2023
Fi.Money,Bengaluru,India,Asia,30,10.0,300,270,Finance,Series C,2023
Dunzo,Bengaluru,India,Asia,150,30.0,500,350,Food,Unknown,2023
Flexe,Seattle,USA,North America,131,33.0,397,266,Logistics,Series D,2023
Lucid Software,Salt Lake City,USA,North America,75,7.0,1071,996,Other,Series E,2023
7shifts,Saskatoon,Canada,North America,30,7.0,429,399,Food,Series C,2023
Airtable,San Francisco Bay Area,USA,North America,237,27.0,878,641,Product,Series F,2023
VideoAmp,Los Angeles,USA,North America,40,10.0,400,360,Marketing,Series F,2023
Evolve,Denver,USA,North America,175,20.0,875,700,Travel,Series F,2023
Paper,Montreal,Canada,North America,87,3.0,2900,2813,Education,Series D,2023
Homeday,Berlin,Germany,Europe,40,20.0,200,160,Real Estate,Unknown,2023
At-Bay,San Francisco Bay Area,USA,North America,27,9.0,300,273,Security,Unknown,2023
Chargebee,San Francisco Bay Area,USA,North America,100,10.0,1000,900,Finance,Series H,2023
Grabango,San Francisco Bay Area,USA,North America,34,40.0,85,51,Food,Unknown,2023
Drift,Boston,USA,North America,100,25.0,400,300,Marketing,Acquired,2023
Roku,San Francisco Bay Area,USA,North America,360,10.0,3600,3240,Media,Post-IPO,2023
Absci,Portland,USA,North America,30,15.0,200,170,Healthcare,Post-IPO,2023
Hodinkee,New York City,USA,North America,24,20.0,120,96,Retail,Seed,2023
Nexar,New York City,USA,North America,17,14.0,121,104,Transportation,Series D,2023
Omuni,Bengaluru,India,Asia,60,35.0,171,111,Retail,Acquired,2023
Kenko Health,Mumbai,India,Asia,50,20.0,250,200,Healthcare,Series A,2023
Huma,London,United Kingdom,Europe,45,10.0,450,405,Healthcare,Unknown,2023
Zeplin,San Francisco Bay Area,USA,North America,37,35.0,106,69,Product,Seed,2023
Kenko Health,Mumbai,India,Asia,50,20.0,250,200,Healthcare,Unknown,2023
Zebra Technologies,Chicago,USA,North America,700,7.0,10000,9300,Manufacturing,Post-IPO,2023
