Company,Location_HQ,Country,Continent,Laid_Off,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Year
Gopuff,Philadelphia,USA,North America,250,1.851851851851852,13500,13250,Food,Series H,2022
The Guild,Austin,USA,North America,38,22.0,173,135,Travel,Series B,2020
iFit,Logan,USA,North America,300,20.0,1500,1200,Fitness,Private Equity …,2022
Gopuff,Philadelphia,USA,North America,100,0.6622516556291391,15100,15000,Food,Series H,2022
Grab,Singapore,Singapore,Asia,360,5.0,7200,6840,Transportation,Series I,2020
Cowbell,San Francisco Bay Area,USA,North America,28,12.0,233,205,Finance,Series B,2023
23andMe,San Francisco Bay Area,USA,North America,75,9.0,833,758,Healthcare,Post-IPO,2023
ResearchGate,Berlin,Germany,Europe,25,10.0,250,225,Other,Series D,2022
Docly,London,United Kingdom,Europe,8,80.0,10,2,Healthcare,Seed,2020
Chipper Cash,San Francisco Bay Area,USA,North America,100,33.0,303,203,Finance,Series C,2023
Sonder,San Francisco Bay Area,USA,North America,400,33.0,1212,812,Travel,Series D,2020
2TM,Sao Paulo,Brazil,South America,100,15.0,667,567,Crypto,Unknown,2022
New Relic,San Francisco Bay Area,USA,North America,110,5.0,2200,2090,Infrastructure,Post-IPO,2022
Stitch Fix,San Francisco Bay Area,USA,North America,330,15.0,2200,1870,Retail,Post-IPO,2022
Deliveroo,London,United Kingdom,Europe,367,15.0,2447,2080,Food,Series G,2020
Polygon,Bengaluru,India,Asia,100,20.0,500,400,Crypto,Unknown,2023
TripleLift,New York City,USA,North America,23,7.0,329,306,Marketing,Series B,2020
Hootsuite,Vancouver,Canada,North America,50,5.0,1000,950,Marketing,Series C,2022
Vox Media,Washington DC,USA,North America,39,2.0,1950,1911,Media,Series F,2022
Apartment List,San Francisco Bay Area,USA,North America,29,10.0,290,261,Real Estate,Series D,2022
Builder,Los Angeles,USA,North America,39,14.0,279,240,Product,Series A,2020
Bluprint,Denver,USA,North America,137,100.0,137,0,Education,Acquired,2020
Soluto,Tel Aviv,Israel,Asia,120,100.0,120,0,Support,Acquired,2022
Bevi,Boston,USA,North America,30,20.0,150,120,Food,Series C,2020
Glassdoor,San Francisco Bay Area,USA,North America,300,30.0,1000,700,Recruiting,Acquired,2020
Delivery Hero,Berlin,Germany,Europe,100,2.5,4000,3900,Food,Post-IPO,2022
Koho,Toronto,Canada,North America,15,4.0,375,360,Finance,Series D,2022
Simpl,Bengaluru,India,Asia,150,25.0,600,450,Finance,Series B,2023
SIRCLO,Jakarta,Indonesia,Asia,160,8.0,2000,1840,Retail,Series B,2022
Coinbase,San Francisco Bay Area,USA,North America,950,20.0,4750,3800,Crypto,Post-IPO,2023
Branch,New York City,USA,North America,3,27.0,11,8,Retail,Seed,2020
